run_id,run_support_status_v2,run_support_risk_v2,primary_segment_id_v2,primary_segment_name_v2,primary_task_v2,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,support_reason_v2,needs_review_v2,review_segment_count_v2,segment_status_counts_v2
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,control_challenge_support,none,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::post_change,post_change,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,control_challenge_support,none,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::pre_change,pre_change,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 2}"
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,control_challenge_support,none,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::post_change,post_change,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,control_challenge_support,none,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na::full,full,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,control_challenge_support,none,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::post_change,post_change,control_challenge,,,,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,short_context_only,none,120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh::post_change,post_change,short_context_only,,,,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 2}"
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,short_context_only,none,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na::full,full,short_context_only,,,,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 1}"
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,static_negative_reference_support,none,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,full,static_mainfield_primary,0.3333333333333333,1.0,0.6,segment remains a clean static negative reference in the main battlefield,False,0,"{""static_negative_reference_support"": 1}"
