run_id,segment_id,segment_name,support_status_v1,support_risk_v1,support_reason_v1,review_priority_v1,review_segment_count_v1
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0,1
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0,0
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0,1
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,full,static_review_weak_positive,watch,segment carries positive label but static evidence remains weak and should be reviewed instead of promoted,1,1
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,full,static_watch_breathing,watch,segment looks positive-like to the raw static baseline but remains a sealed breathing hard case,2,1
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,post_change,static_watch_confound,watch,segment enters the battlefield after heat-off and should not be treated as a clean static positive,3,1
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,4,2
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,4,2
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,4,2
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,4,2
