run_id,file_path,sheet,seal_state_global,has_transition,transition_ts,condition_family_manual,heat_state_manual,ext_humidity_regime_manual,device_id_manifest,initial_state,in_humidity_level_manifest,status,n_points,n_windows,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,final_status,risk_level,primary_evidence,primary_segment_id,needs_review,event_start,event_end,peak_time,event_duration_h,peak_transition_phase,notes
2026-03-02 161335_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-02 161335_seal_unheated.xlsx,Serial Data Log,sealed,False,,ext_high_hum_no_heat,off,high,,密封状态，外部湿度高，内部湿度低，无热源,低,ok,1049.0,7.0,1.0,0.0,0.0,static_abstain_low_signal,abstain,similarity_branch,S001,False,,,,,,密封状态，外部湿度高，内部湿度低，无热源 | threshold branch abstained | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=1.164 | no_heat_probe_v3=ext_high_hum_no_heat_probe_negative
2026-03-03 181049_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-03 181049_unseal_unheated.xlsx,Serial Data Log,unsealed,False,,ext_high_hum_no_heat,off,high,,非密封状态，外部湿度高，内部湿度低，无热源,低,ok,913.0,5.0,0.8,0.2,0.0,static_dynamic_supported_alert,high,multiview_support+no_heat_probe,S002,True,,,,,,非密封状态，外部湿度高，内部湿度低，无热源 | threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=4 | hard_case_ratio=0.863 | multiview support recovers static miss | no_heat_probe_v3=ext_high_hum_no_heat_probe_supported | no_heat probe corroborates multiview-supported static alert
2026-03-06 160246_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-06 160246_seal_unheated.xlsx,Serial Data Log,sealed,False,,ext_high_hum_no_heat,off,high,,密封状态，外部湿度高，内部湿度低，无热源,低,ok,2539.0,32.0,1.0,0.0,0.0,static_hard_case_watch,watch,hard_case_multiview,S001,True,,,,,,密封状态，外部湿度高，内部湿度低，无热源 | threshold_pred=0 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=0.547 | hard case watch overrides static alerting | no_heat_probe_v3=ext_high_hum_no_heat_probe_breathing_watch
2026-03-03 101220_seal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-03 101220_seal_heated.xlsx,Serial Data Log,sealed,False,,ext_high_hum_with_heat,on,high,,密封状态，外部湿度高，内部湿度低，有热源,低,ok,398.0,0.0,,,,gated_background,abstain,gate_only,,False,,,,,,密封状态，外部湿度高，内部湿度低，有热源 | no routed evidence branch
2026-03-13 080032_unseal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-13 080032_unseal_heated.xlsx,Serial Data Log,unsealed,False,,ext_high_hum_with_heat,on,high,,非密封状态，外部湿度高，内部湿度低，有热源,低,ok,1981.0,23.0,0.0,0.8695652173913043,0.0,gated_heat_related,abstain,gate_only,,False,,,,,,非密封状态，外部湿度高，内部湿度低，有热源 | heat-related windows dominate
2026-03-14 174006_unseal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-14 174006_unseal_heated.xlsx,Serial Data Log,unsealed,False,,ext_high_hum_with_heat,on,high,,非密封状态，外部湿度高，内部湿度低，有热源,低,ok,4158.0,60.0,0.0,1.0,0.0,gated_heat_related,abstain,gate_only,,False,,,,,,非密封状态，外部湿度高，内部湿度低，有热源 | heat-related windows dominate
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated.xlsx,Serial Data Log,mixed,True,2026-03-04 16:39:09,transition_run,off,high,,密封状态，外部湿度高，内部湿度低，无热源,低,ok,2716.0,35.0,1.0,0.0,0.0,transition_boost_alert,high,transition_branch+multiview,S001,True,2026-03-04 12:00:00,2026-03-05 08:00:00,2026-03-04 12:00:00,20.0,near_transition,"密封状态，外部湿度高，内部湿度低，无热源 | transition boost features=delta_in_hum,delta_half_in_hum,max_hourly_hum_rise,std_out_hum,corr_AH | transition evidence passed | transition_boost_count=5"
2026-03-08 172014_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-08 172014_seal_unheated.xlsx,Serial Data Log,mixed,True,2026-03-10 10:00:00,transition_run,off,high,,密封状态，外部湿度高，内部湿度低，无热源,低,ok,6746.0,102.0,1.0,0.0,0.0,transition_boost_alert,high,transition_branch+multiview,S002,True,2026-03-09 23:00:00,2026-03-11 19:00:00,2026-03-10 08:00:00,44.0,near_transition,"密封状态，外部湿度高，内部湿度低，无热源 | transition boost features=delta_in_hum,delta_half_in_hum,max_hourly_hum_rise,corr_AH | transition evidence passed | transition_boost_count=4"
2026-03-02 105925,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-02 105925.xlsx,Serial Data Log,unknown,False,,unknown,mixed,unknown,,,,ok,269.0,0.0,,,,gated_background,abstain,gate_only,,False,,,,,,no routed evidence branch
2026-03-04 120007_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 120007_seal_unheated.xlsx,Serial Data Log,sealed,False,,unknown,off,unknown,,,,ok,277.0,0.0,,,,gated_background,abstain,gate_only,,False,,,,,,no routed evidence branch
