segment_id,run_id,review_label,reviewer,review_note,segment_name,support_status_v3,support_risk_v3,support_reason_v3,review_stage_v1,review_rank_v1,preferred_seed_label_v2,guard_feature_score_v3,predicted_memory_role_v2,anomaly_advantage_v2,review_priority_v3,file,device_id,change_type,initial_role,post_role,segment_heat_state,segment_ext_level,primary_task,segment_role,segment_source,segment_seal_state,segment_hours,transition_bucket,label_options,recommended_focus
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,01_transition_primary,1,transition_positive,0.2295081967213114,anomaly_reference,3.530060826610048,0,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,120165524,seal_change_to_unsealed,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,heat_off,high,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,40.64361111111111,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否为主战场 transition 正样本
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,01_transition_primary,1,transition_positive,0.5873015873015873,anomaly_reference,6.546318126524227,0,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,120165524,seal_change_to_unsealed,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,heat_off,high,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,71.98527777777778,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否为主战场 transition 正样本
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,01_transition_primary,1,transition_positive,0.7142857142857143,anomaly_reference,2.544205955031874,0,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,120165524,seal_change_to_unsealed,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,heat_off,high,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,53.38583333333333,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否为主战场 transition 正样本
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,,,,full,static_review_weak_positive_guarded,watch,"weak positive keeps local support but does not pass cross-dataset hard-negative guard; guard=0.54, memory=hard_negative, anomaly_adv=-5.48",02_guarded_positive,2,uncertain,0.5409836065573771,hard_negative,-5.475595361803923,2,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,120165524,no_change,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,heat_off,high,static_eval_only,mainfield_extHigh_intLow_noHeat,full_run,unsealed,15.206944444444444,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,局部正向证据存在，但未通过 hard-negative 守门；优先在 positive_reference 和 uncertain 之间确认
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,,,,full,static_watch_breathing_hardguard,watch,breathing watch is reinforced by tri-memory hard_negative with anomaly_adv -0.83 and suppression 1.00,03_breathing_watch,3,breathing_watch,0.4098360655737705,hard_negative,-0.8332071362963216,3,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,120165524,no_change,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,heat_off,high,control_challenge,mainfield_extHigh_intLow_noHeat,full_run,sealed,42.303333333333335,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否属于密封呼吸/材料呼吸难例
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,,,,post_change,static_watch_confound_hardguard,watch,confound watch is reinforced by tri-memory hard_negative with anomaly_adv -6.76 and reject score 1.00,04_confound_watch,4,confound,0.4761904761904761,hard_negative,-6.7632667614650614,5,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,120165524,heat_off,highhum_heated,mainfield_extHigh_intLow_noHeat,heat_off,high,control_challenge,mainfield_extHigh_intLow_noHeat,heat_off,unsealed,47.59916666666667,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否属于 heat-off 或类似混淆段
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,05_transition_secondary,5,uncertain,,,,7,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,120165519,seal_change_to_unsealed,internal_moisture_control,internal_moisture_control,heat_off,low,transition_context,internal_moisture_control,seal_change_to_unsealed,unsealed,71.9888888888889,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否仅作控制 transition，不进入主战场
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,05_transition_secondary,5,uncertain,,,,7,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,120165519,seal_change_to_unsealed,internal_moisture_control,internal_moisture_control,heat_on,low,transition_context,internal_moisture_control,seal_change_to_unsealed,unsealed,48.00388888888889,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否仅作控制 transition，不进入主战场
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,05_transition_secondary,5,uncertain,,,,7,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,120165520,seal_change_to_unsealed,balanced_control,balanced_control,heat_on,eq,transition_context,balanced_control,seal_change_to_unsealed,unsealed,48.00472222222222,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否仅作控制 transition，不进入主战场
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,05_transition_secondary,5,uncertain,,,,7,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,120165520,seal_change_to_unsealed,balanced_control,balanced_control,heat_on,eq,transition_context,balanced_control,seal_change_to_unsealed,unsealed,43.41833333333334,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,优先确认是否仅作控制 transition，不进入主战场
