run_id,run_support_status_v1,run_support_risk_v1,primary_segment_id_v1,primary_segment_name_v1,primary_task_v1,support_reason_v1,needs_review_v1,review_segment_count_v1,segment_status_counts_v1
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,control_challenge_support,none,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,control_challenge_support,none,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::pre_change,pre_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 2}"
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,control_challenge_support,none,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,control_challenge_support,none,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,control_challenge_support,none,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,short_context_only,none,120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh::post_change,post_change,short_context_only,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 2}"
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,short_context_only,none,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na::full,full,short_context_only,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 1}"
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,static_negative_reference_support,none,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,full,static_mainfield_primary,segment is a clean static negative reference in the main battlefield,False,0,"{""static_negative_reference_support"": 1}"
